"Thematic"	"Description"	"WFS GetCapabilities"
"Bathymetry"	"Data Products"	"https://ows.emodnet-bathymetry.eu/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Biology"	"Data Products"	"https://geo.vliz.be/geoserver/Emodnetbio/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Biology"	"New Data Products"	"https://ows.emodnet.eu/geoserver/biology/ows?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.1"
"Biology"	"Occurrence data"	"https://geo.vliz.be/geoserver/Dataportal/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Chemistry"	"Litter"	"https://sextant.ifremer.fr/services/wfs/emodnet_chemistry2?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Chemistry"	"Contaminants"	"https://nodc.ogs.it/geoserver/Contaminants/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Chemistry"	"CDI data discovery and access service"	"https://geo-service.maris.nl/emodnet_chemistry/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Chemistry"	"Distribution of CDI observations per data category (P36) and MSFD sea regions"	"https://geo-service.maris.nl/emodnet_chemistry_p36/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Geology"	"Sea-floor (bedrock)"	"https://drive.emodnet-geology.eu/geoserver/bgr/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Geology"	"Marine Minerals"	"https://drive.emodnet-geology.eu/geoserver/gsi/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Geology"	"Seabed substrate maps"	"https://drive.emodnet-geology.eu/geoserver/gtk/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Geology"	"Events and Probabilities"	"https://drive.emodnet-geology.eu/geoserver/ispra/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Geology"	"Coastal Behaviour"	"https://drive.emodnet-geology.eu/geoserver/tno/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Geology"	"Submerged Landscapes"	"https://drive.emodnet-geology.eu/geoserver/bgs/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Geology"	"Index of borehole and geophysics data"	"https://drive.emodnet-geology.eu/geoserver/geus/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Human Activities"	"Data and Data Products"	"https://ows.emodnet-humanactivities.eu/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Physics"	"Data and Data Products"	"https://prod-geoserver.emodnet-physics.eu/geoserver/ows?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Seabed Habitats"	"General datasets and products"	"https://ows.emodnet-seabedhabitats.eu/geoserver/emodnet_open/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
"Seabed Habitats"	"Individual habitat map and model datasets"	"https://ows.emodnet-seabedhabitats.eu/geoserver/emodnet_open_maplibrary/wfs?SERVICE=WFS&REQUEST=GetCapabilities&VERSION=2.0.0"
